Amount,Category,Clean Vendor,Description/Memo,Transaction Date,category,standardized_vendor
245.65,Office Supplies & Equipment,WALGREENS,Transaction 1 - Equipment purchase,2023-01-13,Office Supplies & Equipment,WALGREENS
590.9,Meals & Entertainment,AUTO PAY Chipotle,Transaction 2 - Office supplies,2023-10-07,Meals & Entertainment,AUTO PAY Chipotle
561.68,Software & Technology,Apple ONLINE,Transaction 3 - Equipment purchase,2023-11-05,Software & Technology,Apple ONLINE
589.68,Travel & Transportation,Marriott*STORE 001,Transaction 4 - Business expense,2023-04-23,Travel & Transportation,Marriott*STORE 001
340.91,Meals & Entertainment,Subway,Transaction 5 - Team lunch,2023-03-23,Meals & Entertainment,Subway
359.62,Travel & Transportation,LYFT,Transaction 6 - Team lunch,2023-07-14,Travel & Transportation,LYFT
125.7,Office Supplies & Equipment,Amazon LLC,Transaction 7 - Business expense,2023-08-24,Office Supplies & Equipment,Amazon LLC
885.57,Travel & Transportation,PAYPAL *Airbnb,Transaction 8 - Office supplies,,Travel & Transportation,PAYPAL *Airbnb
773.3,Meals & Entertainment,DOMINO'S,Transaction 9 - Office supplies,2023-01-24,Meals & Entertainment,DOMINO'S
636.05,Travel & Transportation,Lyft*STORE 001,Transaction 10 - Team lunch,2023-05-23,Travel & Transportation,Lyft*STORE 001
702.12,Utilities & Rent,SQ *Comcast,Transaction 11 - Business expense,2023-12-10,Utilities & Rent,SQ *Comcast
0.0,Travel & Transportation,Budget INC,Transaction 12 - Team lunch,2023-03-29,Travel & Transportation,Budget INC
684.93,Office Supplies & Equipment,Walgreens LLC,Transaction 13 - Business expense,2023-10-13,Office Supplies & Equipment,Walgreens LLC
0.0,Software & Technology,Apple,Transaction 14 - Equipment purchase,2023-01-17,Software & Technology,Apple
396.24,Utilities & Rent,SQ *AT&T,Transaction 15 - Client meeting,2023-12-02,Utilities & Rent,SQ *AT&T
745.24,Office Supplies & Equipment,PAYPAL *Target,Transaction 16 - Equipment purchase,2023-03-13,Office Supplies & Equipment,PAYPAL *Target
362.63,Travel & Transportation,Hertz*STORE 001,Transaction 17 - Office supplies,2023-10-26,Travel & Transportation,Hertz*STORE 001
0.0,Travel & Transportation,TST* Southwest Airlines,Transaction 18 - Equipment purchase,2023-02-16,Travel & Transportation,TST* Southwest Airlines
382.24,Banking & Finance,Wells Fargo.COM,Transaction 19 - Monthly subscription,2023-02-02,Banking & Finance,Wells Fargo.COM
682.03,Software & Technology,Microsoft ONLINE,Transaction 20 - Team lunch,2023-01-06,Software & Technology,Microsoft ONLINE
435.33,Office Supplies & Equipment,Whole Foods #123456,Transaction 21 - Equipment purchase,2023-02-27,Office Supplies & Equipment,Whole Foods #123456
508.17,Meals & Entertainment,PAYPAL *Papa John's,Transaction 22 - Team lunch,2023-09-14,Meals & Entertainment,PAYPAL *Papa John's
