source_row_id,Transaction Date,Amount,rule_vendor,rule_category,llm_vendor,llm_category,category_changed,category_upgrade_from_other,vendor_changed
24,,-947.0,Google,Other,Google,Software & Technology,True,True,False
162,,-912.92,[Vendor Missing],Other,[Vendor Missing],Professional Services,True,True,False
181,,-887.37,[Vendor Missing],Office Supplies & Equipment,[Vendor Missing],Travel & Transportation,True,False,False
11,,-729.4,Budget,Other,Budget,Travel & Transportation,True,True,False
192,,-266.1,Hertz,Office Supplies & Equipment,Hertz,Travel & Transportation,True,False,False
121,,-114.97,Costco,Other,Costco,Office Supplies & Equipment,True,True,False
13,,0.0,Apple,Other,Apple,Software & Technology,True,True,False
23,,0.0,[Vendor Missing],Office Supplies & Equipment,[Vendor Missing],Travel & Transportation,True,False,False
41,,0.0,Salesforce,Office Supplies & Equipment,Salesforce,Software & Technology,True,False,False
51,,0.0,Safeway,Other,Safeway,Meals & Entertainment,True,True,False
63,,0.0,Dropbox,Other,Dropbox,Software & Technology,True,True,False
99,,0.0,[Vendor Missing],Office Supplies & Equipment,[Vendor Missing],Office Supplies & Equipment,False,False,False
100,,0.0,Domino's,Other,Domino's,Meals & Entertainment,True,True,False
101,,0.0,[Vendor Missing],Office Supplies & Equipment,Kroger,Meals & Entertainment,True,False,True
112,,0.0,[Vendor Missing],Office Supplies & Equipment,[Vendor Missing],Meals & Entertainment,True,False,False
130,,0.0,[Vendor Missing],Office Supplies & Equipment,[Vendor Missing],Office Supplies & Equipment,False,False,False
136,,0.0,[Vendor Missing],Office Supplies & Equipment,[Vendor Missing],Travel & Transportation,True,False,False
142,,0.0,Walgreens,Office Supplies & Equipment,Walgreens,Professional Services,True,False,False
153,,0.0,[Vendor Missing],Other,[Vendor Missing],Utilities & Rent,True,True,False
176,,0.0,Uber,Other,Uber,Travel & Transportation,True,True,False
187,,0.0,Safeway,Office Supplies & Equipment,Safeway,Meals & Entertainment,True,False,False
205,,0.0,[Vendor Missing],Office Supplies & Equipment,[Vendor Missing],Meals & Entertainment,True,False,False
54,,4.54,Walgreens,Office Supplies & Equipment,Walgreens,Office Supplies & Equipment,False,False,False
50,,8.82,Cvspharmacy,Other,[Vendor Missing],Office Supplies & Equipment,True,True,True
144,,14.66,Domino's,Other,Domino's,Meals & Entertainment,True,True,False
118,,15.13,Apple,Office Supplies & Equipment,Apple,Software & Technology,True,False,False
191,,15.85,Safeway,Other,Safeway,Meals & Entertainment,True,True,False
220,,19.72,Spotify,Office Supplies & Equipment,Spotify,Software & Technology,True,False,False
178,,26.0,Lyft,Other,Lyft,Travel & Transportation,True,True,False
208,,27.23,[Vendor Missing],Office Supplies & Equipment,[Vendor Missing],Professional Services,True,False,False
245,,38.71,Southwestairlines,Other,[Vendor Missing],Travel & Transportation,True,True,True
57,,42.79,Airbnb,Other,Airbnb,Travel & Transportation,True,True,False
216,,46.37,Hertz,Office Supplies & Equipment,Hertz,Travel & Transportation,True,False,False
96,,53.03,Uber,Office Supplies & Equipment,Uber,Travel & Transportation,True,False,False
125,,61.17,[Vendor Missing],Office Supplies & Equipment,[Vendor Missing],Banking & Finance,True,False,False
195,,61.76,[Vendor Missing],Office Supplies & Equipment,[Vendor Missing],Travel & Transportation,True,False,False
238,,66.85,Budget,Other,Budget,Travel & Transportation,True,True,False
202,,68.07,[Vendor Missing],Other,[Vendor Missing],Utilities & Rent,True,True,False
188,,69.54,Chevron,Other,Chevron,Travel & Transportation,True,True,False
69,,70.9,Safeway,Office Supplies & Equipment,Safeway,Meals & Entertainment,True,False,False
155,,75.75,[Vendor Missing],Other,[Vendor Missing],Meals & Entertainment,True,True,False
244,,78.09,[Vendor Missing],Office Supplies & Equipment,[Vendor Missing],Office Supplies & Equipment,False,False,False
93,,84.86,Hertz,Other,Hertz,Travel & Transportation,True,True,False
134,,92.24,AT&T,Other,AT&T,Utilities & Rent,True,True,False
242,,94.36,Chevron,Other,Chevron,Travel & Transportation,True,True,False
154,,100.61,Verizon,Other,Verizon,Utilities & Rent,True,True,False
180,,117.56,[Vendor Missing],Office Supplies & Equipment,[Vendor Missing],Meals & Entertainment,True,False,False
28,,121.88,[Vendor Missing],Office Supplies & Equipment,[Vendor Missing],Banking & Finance,True,False,False
6,,125.7,Amazon,Other,Amazon,Office Supplies & Equipment,True,True,False
197,,127.07,AT&T,Other,AT&T,Utilities & Rent,True,True,False
98,,127.09,Mcdonald's,Other,Mcdonald's,Meals & Entertainment,True,True,False
