source_row_id,Transaction Date,Amount,rule_vendor,rule_category,llm_vendor,llm_category,category_changed,category_upgrade_from_other,vendor_changed
0,2023-01-13,245.65,Walgreens,Other,Walgreens,Office Supplies & Equipment,True,True,False
13,2023-01-17,0.0,Apple,Other,Apple,Software & Technology,True,True,False
8,2023-01-24,773.3,Domino's,Other,Domino's,Meals & Entertainment,True,True,False
34,2023-02-20,403.22,[Vendor Missing],Other,[Vendor Missing],Meals & Entertainment,True,True,False
4,2023-03-23,340.91,Subway,Other,Subway,Meals & Entertainment,True,True,False
11,2023-03-29,-729.4,Budget,Other,Budget,Travel & Transportation,True,True,False
5,2023-07-14,359.62,Lyft,Other,Lyft,Travel & Transportation,True,True,False
6,2023-08-24,125.7,Amazon,Other,Amazon,Office Supplies & Equipment,True,True,False
42,2023-09-02,919.47,Netflix,Other,Netflix,Software & Technology,True,True,False
37,2023-10-04,969.03,Netflix,Other,Netflix,Software & Technology,True,True,False
29,2023-10-11,588.85,Mcdonald's,Other,Mcdonald's,Meals & Entertainment,True,True,False
12,2023-10-13,684.93,Walgreens,Other,Walgreens,Office Supplies & Equipment,True,True,False
45,2023-10-17,317.05,Safeway,Other,Safeway,Office Supplies & Equipment,True,True,False
24,,-947.0,Google,Other,Google,Software & Technology,True,True,False
19,2023-01-06,682.03,Microsoft,Office Supplies & Equipment,Microsoft,Software & Technology,True,False,False
18,2023-02-02,382.24,[Vendor Missing],Office Supplies & Equipment,[Vendor Missing],Banking & Finance,True,False,False
30,2023-02-04,859.78,Netflix,Office Supplies & Equipment,Netflix,Software & Technology,True,False,False
47,2023-02-07,458.83,[Vendor Missing],Office Supplies & Equipment,[Vendor Missing],Banking & Finance,True,False,False
36,2023-02-08,808.21,[Vendor Missing],Office Supplies & Equipment,[Vendor Missing],Banking & Finance,True,False,False
17,2023-02-16,861.24,[Vendor Missing],Office Supplies & Equipment,[Vendor Missing],Travel & Transportation,True,False,False
20,2023-02-27,435.33,[Vendor Missing],Office Supplies & Equipment,[Vendor Missing],Meals & Entertainment,True,False,False
43,2023-04-06,595.44,[Vendor Missing],Office Supplies & Equipment,[Vendor Missing],Travel & Transportation,True,False,False
35,2023-04-08,449.16,Google,Office Supplies & Equipment,Google,Software & Technology,True,False,False
31,2023-04-20,133.18,Safeway,Office Supplies & Equipment,Safeway,Meals & Entertainment,True,False,False
48,2023-04-20,265.94,Spotify,Office Supplies & Equipment,Spotify,Software & Technology,True,False,False
3,2023-04-23,589.68,Marriott,Office Supplies & Equipment,Marriott,Travel & Transportation,True,False,False
46,2023-05-03,396.39,Domino's,Office Supplies & Equipment,Domino's,Meals & Entertainment,True,False,False
32,2023-05-05,807.69,[Vendor Missing],Office Supplies & Equipment,[Vendor Missing],Travel & Transportation,True,False,False
9,2023-05-23,636.05,Lyft,Office Supplies & Equipment,Lyft,Travel & Transportation,True,False,False
49,2023-05-26,438.75,Google,Office Supplies & Equipment,[Vendor Missing],Software & Technology,True,False,True
25,2023-06-03,660.09,Subway,Office Supplies & Equipment,Subway,Meals & Entertainment,True,False,False
33,2023-08-05,467.56,[Vendor Missing],Office Supplies & Equipment,[Vendor Missing],Banking & Finance,True,False,False
21,2023-09-14,508.17,[Vendor Missing],Office Supplies & Equipment,[Vendor Missing],Meals & Entertainment,True,False,False
28,2023-09-22,121.88,[Vendor Missing],Office Supplies & Equipment,[Vendor Missing],Banking & Finance,True,False,False
1,2023-10-07,590.9,[Vendor Missing],Office Supplies & Equipment,Chipotle,Meals & Entertainment,True,False,True
44,2023-10-19,579.34,[Vendor Missing],Office Supplies & Equipment,[Vendor Missing],Utilities & Rent,True,False,False
16,2023-10-26,362.63,Hertz,Office Supplies & Equipment,Hertz,Travel & Transportation,True,False,False
2,2023-11-05,561.68,Apple,Office Supplies & Equipment,Apple,Software & Technology,True,False,False
26,2023-11-07,964.4,Microsoft,Office Supplies & Equipment,Microsoft,Software & Technology,True,False,False
14,2023-12-02,396.24,AT&T,Office Supplies & Equipment,AT&T,Utilities & Rent,True,False,False
10,2023-12-10,702.12,Comcast,Office Supplies & Equipment,Comcast,Utilities & Rent,True,False,False
40,2023-12-23,662.21,Salesforce,Office Supplies & Equipment,Salesforce,Software & Technology,True,False,False
27,2024-01-01,399.59,[Vendor Missing],Office Supplies & Equipment,[Vendor Missing],Meals & Entertainment,True,False,False
23,,0.0,[Vendor Missing],Office Supplies & Equipment,[Vendor Missing],Travel & Transportation,True,False,False
41,,0.0,Salesforce,Office Supplies & Equipment,Salesforce,Software & Technology,True,False,False
7,,885.57,Airbnb,Office Supplies & Equipment,Airbnb,Travel & Transportation,True,False,False
39,2023-01-02,265.94,Walmart,Office Supplies & Equipment,Walmart,Office Supplies & Equipment,False,False,False
15,2023-03-13,745.24,Target,Office Supplies & Equipment,Target,Office Supplies & Equipment,False,False,False
38,2023-09-06,214.53,Walmart,Office Supplies & Equipment,Walmart,Office Supplies & Equipment,False,False,False
22,2023-11-08,153.69,Walgreens,Office Supplies & Equipment,Walgreens,Office Supplies & Equipment,False,False,False
